Player Name,Conference,Team,Points,Rebounds,Assists,Steals,Blocks,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,OREB,DREB,TOV
Klay Thompson,West,Warriors ,20,3.8,2.5,0.8,0.5,73,34.3,7.9,16.2,48.8,3.1,7.1,44,1.1,1.3,0.4,3.4,1.8
TJ Warren,West,Suns,19.6,5.1,1.3,1,0.6,65,33,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,1.9,3.2,1.3
Jrue Holiday,West,Pelicans ,19,4.5,6,1.5,0.8,81,36.1,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,0.8,3.7,2.6
Harrison Barnes,West,Mavericks ,18.9,6.1,2,0.6,0.2,77,34.2,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,1,5.1,1.5
Chris Paul,West,Rockets,18.6,5.4,7.9,1.7,0.2,58,31.8,6.3,13.8,46,2.5,6.5,38,3.5,3.8,0.6,4.8,2.2
Nikola Jokic,West,Nuggets,18.5,10.7,6.1,1.2,0.8,75,32.6,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,2.6,8.1,2.8
Eric Gordon,West,Rockets,18,2.5,2.2,0.6,0.4,69,31.2,6,14.1,42.8,3.2,8.8,35.9,2.8,3.5,0.4,2.1,1.9
Andrew Wiggins,West,Timberwolves,17.7,4.4,2,1.1,0.6,82,36.3,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,1,3.4,1.7
Gary Harris,West,Nuggets,17.5,2.6,2.9,1.8,0.2,67,34.4,6.6,13.6,48.5,2.3,5.9,39.6,2,2.4,0.6,2.1,1.8
Marc Gasol,West,Grizzlies ,17.2,8.1,4.2,0.7,1.4,73,33,5.9,14.2,42,1.5,4.4,34.1,3.8,4.6,1.1,7,2.7
Jamal Murray,West,Nuggets,16.7,3.7,3.4,1,0.3,81,31.7,5.9,13.1,45.1,2,5.4,37.8,2.8,3.1,1,2.7,2.1
Carmelo Anthony,West,Thunder ,16.2,5.8,1.3,0.6,0.6,78,32.1,6.1,15,40.4,2.2,6.1,35.7,1.9,2.5,0.9,4.9,1.3
Julius Randle,West,Lakers,16.1,8,2.6,0.5,0.5,82,26.7,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,2.2,5.8,2.6
